SG=P6_3/mmc
 name=194.263
 nsym=24
 spinor=False
symmetries=
          1 0 0   0 1 0   0 0 1   0 0 0
        0 -1 0   1 -1 0   0 0 1   0 0 0
        -1 1 0   -1 0 0   0 0 1   0 0 0
  -1 0 0   0 -1 0   0 0 1   0 0 0.50000
   0 1 0   -1 1 0   0 0 1   0 0 0.50000
   1 -1 0   1 0 0   0 0 1   0 0 0.50000
         0 1 0   1 0 0   0 0 -1   0 0 0
       1 -1 0   0 -1 0   0 0 -1   0 0 0
       -1 0 0   -1 1 0   0 0 -1   0 0 0
 0 -1 0   -1 0 0   0 0 -1   0 0 0.50000
  -1 1 0   0 1 0   0 0 -1   0 0 0.50000
  1 0 0   1 -1 0   0 0 -1   0 0 0.50000
       -1 0 0   0 -1 0   0 0 -1   0 0 0
        0 1 0   -1 1 0   0 0 -1   0 0 0
        1 -1 0   1 0 0   0 0 -1   0 0 0
   1 0 0   0 1 0   0 0 -1   0 0 0.50000
 0 -1 0   1 -1 0   0 0 -1   0 0 0.50000
 -1 1 0   -1 0 0   0 0 -1   0 0 0.50000
        0 -1 0   -1 0 0   0 0 1   0 0 0
         -1 1 0   0 1 0   0 0 1   0 0 0
         1 0 0   1 -1 0   0 0 1   0 0 0
    0 1 0   1 0 0   0 0 1   0 0 0.50000
  1 -1 0   0 -1 0   0 0 1   0 0 0.50000
  -1 0 0   -1 1 0   0 0 1   0 0 0.50000


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
A2  2    2.000 2.000 2.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 -2.000 -2.000 -2.000 0.000 0.000 0.000
A3  4    4.000 -2.000 -2.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000



 kpoint  H : 0.333333 0.333333 0.500000  : 1 2 3 5 6 7 8 9 13 14 15 16 17 18 22 23 24
H1  2    2.000 1.000 1.000 0.000 0.000 0.000 0.000 1.732 1.732 0.000 0.000 0.000 0.000 1.000 1.000 0.000 0.000 0.000 0.000 0.500 -0.500 0.000 0.000 0.000
H2  2    2.000 1.000 1.000 0.000 0.000 0.000 0.000 1.732 1.732 0.000 0.000 0.000 0.000 1.000 1.000 0.000 0.000 0.000 0.000 -0.500 0.500 0.000 0.000 0.000
H3  2    2.000 2.000 2.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000



 kpoint  K : 0.333333 0.333333 0.000000  : 1 2 3 5 6 7 8 9 13 14 15 16 17 18 22 23 24
K1  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
K2  1    1.000 1.000 1.000 1.000 1.000 1.000 -1.000 -1.000 -1.000 -1.000 -1.000 -1.000
K3  1    1.000 1.000 1.000 -1.000 -1.000 -1.000 -1.000 -1.000 -1.000 1.000 1.000 1.000
K4  1    1.000 1.000 1.000 -1.000 -1.000 -1.000 1.000 1.000 1.000 -1.000 -1.000 -1.000
K5  2    2.000 -1.000 -1.000 0.000 0.000 0.000 2.000 -1.000 -1.000 0.000 0.000 0.000
K6  2    2.000 -1.000 -1.000 0.000 0.000 0.000 -2.000 1.000 1.000 0.000 0.000 0.000



 kpoint  L : 0.500000 0.000000 0.500000  : 1 4 9 12 13 16 21 24
L1  2    2.000 0.000 0.000 0.000 0.000 0.000 2.000 0.000
L2  2    2.000 0.000 0.000 0.000 0.000 0.000 -2.000 0.000



 kpoint  M : 0.500000 0.000000 0.000000  : 1 4 9 12 13 16 21 24
M1+  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
M1-  1    1.000 1.000 1.000 1.000 -1.000 -1.000 -1.000 -1.000
M2+  1    1.000 1.000 -1.000 -1.000 1.000 1.000 -1.000 -1.000
M2-  1    1.000 1.000 -1.000 -1.000 -1.000 -1.000 1.000 1.000
M3+  1    1.000 -1.000 1.000 -1.000 1.000 -1.000 1.000 -1.000
M3-  1    1.000 -1.000 1.000 -1.000 -1.000 1.000 -1.000 1.000
M4+  1    1.000 -1.000 -1.000 1.000 1.000 -1.000 -1.000 1.000
M4-  1    1.000 -1.000 -1.000 1.000 -1.000 1.000 1.000 -1.000
