GM:(0,0,0)  M:(1/2,1/2,0)  R:(1/2,1/2,1/2)  X:(0,1/2,0)
GM:(0,0,0)  M:(1/2,1/2,0)  R:(1/2,1/2,1/2)  X:(0,1/2,0)
GM3  GM1  GM2  GM4  GM5  GM8  GM6  GM7  M5  M1  M2  M3  M4  M6  M7  R3  R1  R2  R4  R5  R8  R6  R7  X5  X1  X2  X3  X4  X6  X7
2 1 1 3 3 4 2 2 2 1 1 1 1 2 2 2 1 1 3 3 4 2 2 2 1 1 1 1 2 2
2a (231',23) 1E2E 4 0;2a (231',23) A 2 1;2a (231',23) T 6 1;2a (231',23) 1F2F 8 0;2a (231',23) E 4 1;4b (321',32) A1 4 1;4b (321',32) A2 4 1;4b (321',32) E 8 0;4b (321',32) 1E2E 8 0;4b (321',32) E1 8 0;4c (321',32) A1 4 1;4c (321',32) A2 4 1;4c (321',32) E 8 0;4c (321',32) 1E2E 8 0;4c (321',32) E1 8 0;6d (2221',222) A1 6 1;6d (2221',222) B1 6 1;6d (2221',222) B2 6 1;6d (2221',222) B3 6 1;6d (2221',222) E 2 0;6e (2221',222) A1 6 1;6e (2221',222) B1 6 1;6e (2221',222) B2 6 1;6e (2221',222) B3 6 1;6e (2221',222) E 2 0;6f (2221',222) A1 6 1;6f (2221',222) B1 6 1;6f (2221',222) B2 6 1;6f (2221',222) B3 6 1;6f (2221',222) E 2 0
2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0
0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0
0 0 0 1 1 0 0 0 1 1 1 1 1 0 0 0 0 0 1 1 0 0 0 1 1 1 1 1 0 0
0 0 0 0 0 2 0 0 0 0 0 0 0 2 2 0 0 0 0 0 2 0 0 0 0 0 0 0 2 2
0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1
0 1 0 0 1 0 0 0 1 0 1 1 0 0 0 0 1 0 0 1 0 0 0 1 0 1 1 0 0 0
0 0 1 1 0 0 0 0 1 1 0 0 1 0 0 0 0 1 1 0 0 0 0 1 1 0 0 1 0 0
1 0 0 1 1 0 0 0 2 1 1 1 1 0 0 1 0 0 1 1 0 0 0 2 1 1 1 1 0 0
